2000-01-04,Egypt,Togo,2,1,Friendly,Aswan,Egypt
2000-01-07,Tunisia,Togo,7,0,Friendly,Tunis,Tunisia
2000-01-08,Trinidad and Tobago,Canada,0,0,Friendly,Port of Spain,Trinidad and Tobago
2000-01-09,Burkina Faso,Gabon,1,1,Friendly,Ouagadougou,Burkina Faso
2000-01-09,Guatemala,Armenia,1,1,Friendly,Los Angeles,USA
2000-01-09,Côte d'Ivoire,Egypt,2,0,Friendly,Abidjan,Côte d'Ivoire
2000-01-09,Mexico,IR Iran,2,1,Friendly,Oakland,USA
2000-01-11,Bermuda,Canada,0,2,Friendly,Hamilton,Bermuda
2000-01-11,Burkina Faso,Cameroon,2,2,Friendly,Ouagadougou,Burkina Faso
2000-01-13,Senegal,Cameroon,0,0,Friendly,Dakar,Senegal
2000-01-14,China PR,New Zealand,1,0,Friendly,Guangzhou,China PR
2000-01-16,Jamaica,New Zealand,2,1,Friendly,Guangzhou,China PR
2000-01-16,USA,IR Iran,1,1,Friendly,Pasadena,USA
2000-01-18,Ghana,Tunisia,2,0,Friendly,Accra,Ghana
2000-01-18,Morocco,Trinidad and Tobago,1,0,Friendly,El Jadida,Morocco
2000-01-19,Panama,Guatemala,2,0,Friendly,Panama City,Panama
2000-01-19,Togo,Egypt,1,0,Friendly,Lomé,Togo
2000-01-20,Burkina Faso,Algeria,1,0,Friendly,Ouagadougou,Burkina Faso
2000-01-20,Malta,Qatar,2,0,Friendly,Attard,Malta
2000-01-21,New Zealand,Korea Republic,0,1,Friendly,Auckland,New Zealand
2000-01-22,Ghana,Cameroon,1,1,African Cup of Nations,Accra,Ghana
2000-01-23,China PR,Philippines,8,0,AFC Asian Cup qualification,Hanoi,Vietnam
2000-01-23,Egypt,Zambia,2,0,African Cup of Nations,Kano,Nigeria
2000-01-23,New Zealand,Korea Republic,0,0,Friendly,Palmerston North,New Zealand
2000-01-23,Nigeria,Tunisia,4,2,African Cup of Nations,Lagos,Nigeria
